Unnamed: 0,job_id,job_title,job_company,location,salaries,job_type,summary,job_link,job_desc,skill,programming,analysis,hadoop,database
0,jl_d0b1d36a012a20fe,Data scientist,Rakuten Asia Pte Ltd,Singapore,"$5,000 - $9,000 a month",fulltime,Solid experience in advanced data analytics. Be an expert and drive research results in one or more of the below areas:....,https://www.indeed.com.sg/company/Rakuten-Asia-Pte-Ltd/jobs/Data-Scientist-d0b1d36a012a20fe?fccid=68322cce179000f7&vjs=3,"Data Scientist - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchData ScientistRakuten Asia Pte Ltd-Singapore$5,000 - $9,000 a monthPermanentResponsibilities: Be an expert and drive research results in one or more of the below areas:Machine Learning, Statistics, Information Retrieval, Recommender Systems, Natural Language Processing, Machine Translation, Sentiment Analysis, Graph Analysis, Computer Vision, Augmented/Virtual Reality, Other emerging technologiesDeliver results: Develop new technologies, improve business performanceDemonstrate long-term vision, while effectively supporting short-term goalsBe a thought-leader, keeping up with the academic and industry trendsRequirements: Solid experience in advanced data analyticsKnowledge of computer programmingStrong interest in contributing to business improvement and growthPhD, or MS with 2+ years of R&D; experience in industry or research instituteJob Types: Full-time, PermanentSalary: $5,000.00 to $9,000.00 /month18 days ago - save job - report jobApply NowApply NowSave this jobOther jobs you may likeFab10 QEM Fault Detection and Classification Engineer (Data Scientist)MicronSingaporeMicron-2 days agoData Scientist Intern, Real World InsightsIQVIASingaporeIQVIA-2 days agoData ScientistDow Technologies and SystemsBeach RdInternSG-4 days agoData Scientist - Visual SearchViSenze - Artificial Intelligence for the Visual WebSingaporeEasily apply19 days agoData ScientistEXPERIANCentral SingaporeExperian-23 days agoSee more recommended jobsData Scientist jobs in SingaporeJobs at Rakuten Asia in SingaporeCompany InfoFollowGet job updates from Rakuten Asia Pte LtdRakuten Asia Pte LtdAbout Rakuten Asia Pte. Ltd. Rakuten Asia, Regional Head Office of Asia, comprising of various business verticals such as Rakuten Ventu...AboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",programming,r,None,None,None
1,jl_650dd7c810f61830,"Data scientist, university graduate",Moka POS,Singapore,None,fulltime,"Bachelor's Degree in Statistics, Mathematics, Machine Learning, Computer Science, Econometrics, or related field, with at least a GPA of 4.2...",https://www.indeed.com.sg/rc/clk?jk=650dd7c810f61830&fccid=8accb49e79969dd7&vjs=3,"Data Scientist, University Graduate - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchData Scientist, University GraduateMoka POS-Singapore Bachelor's Degree in Statistics, Mathematics, Machine Learning, Computer Science, Econometrics, or related field, with at least a GPA of 4.2 out of 5.0. Must be Singaporean Citizen or Permanent Resident Track record in analyzing large scale quantitative data Deep understanding of statistical and machine learning techniques, knowledge of text analytics a plus Proficiency in SQL/Hive, R/Python or other programming languages Experience with distributed systems (Redshift, Hadoop, Spark etc) Excellent communications skills and attention to detail Team player willing to go the extra mile Kalibrr - 7 days ago - save job - report job - original jobApply NowApply On Company SiteSave this jobOther jobs you may likeJunior Data Scientist (CLT)MSDSingaporeMSD-2 days agoData ScientistAppleSingaporeApple-7 days agoData ScientistAmbitionSingaporeAmbition-14 days agoFab10 QEM Fault Detection and Classification Engineer (Data Scientist)MicronSingaporeMicron-2 days agoData Scientist, Analytics - WorldWide SalesAirbnbSingaporeEasily apply20 hours agoSee more recommended jobsData Scientist jobs in SingaporeJobs at Moka POS in SingaporeCompany InfoFollowGet job updates from Moka POSAboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",programming,python_r,None,None,None
2,jl_6d32f1e064130c78,Data scientist,Dow Technologies and Systems,Singapore,"$5,500 - $8,000 a month",fulltime,"Design efficient, scalable, automated processes for large scale data. Use machine learning and analytical techniques to build prediction....",https://www.indeed.com.sg/company/Dow-Technologies-and-Systems/jobs/Data-Scientist-6d32f1e064130c78?fccid=3c65396b19f16500&vjs=3,"Data Scientist - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchData ScientistDow Technologies and Systems-Singapore$5,500 - $8,000 a monthJob Summary·Use machine learning and analytical techniques to build predictionmodels for different use cases.·Design, develop and test advanced models for predictive behavior.·Co-operate with software engineering teams to drive real-time modelimplementations and new feature creations.·Design efficient, scalable, automated processes for large scale dataanalyses, model development, model validation and modelimplementation.·Research and evaluate pioneering machine learning and statisticalmodel Requirement.Required Experience, Skills and Qualifications·Atleast 3+ years of Deep Learning and machine learning experience.·Good understanding about supervised and unsupervised learningalgorithms.·Generate and test working Hypothesis.·Mandatory coding experience in Python.·Experience working with modern Deep Learning techniques, frameworkand applications.·Experience in DL framework (e.g Caffe, Tourch, Tensorflow).·Exposure to GPU technology and CUDA programming.·2 year or above experience in Algorithms, statistical analysis,computational NLP and/or machine learning.·Strong teamwork and interpersonal skills.·Action oriented with strong analytical and problem solving skill.Job Type: Full-timeSalary: $5,500.00 to $8,000.00 /month4 days ago - save job - report jobApply NowApply NowSave this jobOther jobs you may likeData ScientistSILENT EIGHT PTE. LTD.SingaporeMyCareersFuture.SG-9 days agoDATA SCIENTISTThe Data TeamSingaporeThe Data Team-9 days agoFull Stack Web Developer (New position, Positive environment)Hao Ye Sheng Shi Solutions Pte Ltd (Bao He Group)Singapore$4,000 - $6,000 a monthEasily apply25 days agoData ScientistSnaphuntSingapore$80,000 - $100,000 a yearEasily apply30+ days agoData ScientistSENSORFLOW PTE. LTD.SingaporeMyCareersFuture.SG-3 days agoSee more recommended jobsData Scientist jobs in SingaporeJobs at Dow Technologies and Systems in SingaporeCompany InfoFollowGet job updates from Dow Technologies and SystemsAboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",None,None,None,None,None
3,jl_02cee7d9775ade0a,Data scientist,Snaphunt,Singapore,"$80,000 - $100,000 a year",fulltime,"Ability to visualize data with the aid of data visualization tools such as Tableau, QlikView, Hue etc. As a result of their continued expansion, they are...",https://www.indeed.com.sg/company/Snaphunt-Pte-Ltd/jobs/Data-Scientist-02cee7d9775ade0a?fccid=fc6da3a53e9ebb7b&vjs=3,"Data Scientist - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchData ScientistSnaphunt-Singapore$80,000 - $100,000 a yearPermanentThe EmployerOur client is an exciting ecommerce startup with a strong presence across South East Asia. As a result of their continued expansion, they are looking to hire a Data Scientist within their team.The JobYou will be responsible for:Building & implementing state-of-the-art deep learning models.Creating predictive and prescriptive models that could have a positive impact on the business.Driving all data analytics activities ranging from conceptualisation, visualisation to operationalisation.Performing statistical analysis on historical data to validate models.Implementing real-time analytics use-cases on the Hadoop ecosystem.Working across stakeholders to identify and capitalise on opportunities to leverage data to drive business solutions.The ProfileYou possess an advanced degree, ideally a Ph.D., in Mathematics, Statistics, Computer Science or related field as well as at least 3 years experience in a similar role.Ability to write and execute complex queries in SQL.Ability to visualize data with the aid of data visualization tools such as Tableau, QlikView, Hue etc.Strong knowledge of R and Python.You are a strong team player with a high detail and quality orientation.Please apply for this role using the following link: https://snaphunt.com/jobs/65030491Job Types: Full-time, PermanentSalary: $80,000.00 to $100,000.00 /year30+ days ago - save job - report jobApply NowApply NowSave this jobOther jobs you may likeData ScientistDow Technologies and SystemsSingapore$5,500 - $8,000 a monthEasily apply4 days agoData ScientistRakuten Asia Pte LtdSingapore$5,000 - $9,000 a monthEasily apply18 days agoData ScientistScienteSingaporeEasily apply28 days agoData ScientistST Engineering Land Systems Ltd.Ang Mo KioEasily apply16 days agoData Scientist, University GraduateMoka POSSingaporeKalibrr-7 days agoSee more recommended jobsData Scientist jobs in SingaporeJobs at Snaphunt in SingaporeCompany InfoFollowGet job updates from SnaphuntAboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",programming,r,None,None,None
4,jl_5a1bfa5b72970074,Sr. principal data scientist - singapore,Forcepoint,Singapore,None,fulltime,"Forcepoint is seeking a qualified full-time Senior Professional Services Data Engineer working on client site to facilitate configuration, data integration and...",https://www.indeed.com.sg/rc/clk?jk=5a1bfa5b72970074&fccid=f37511fc55a3e95b&vjs=3,"Sr. Principal Data Scientist - Singapore - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchSr. Principal Data Scientist - SingaporeForcepoint-SingaporeForcepoint is transforming cybersecurity by focusing on what matters most: understanding people’s intent as they interact with critical data and intellectual property wherever it resides. Our uncompromising systems enable companies to empower employees with unobstructed access to confidential data while protecting intellectual property and simplifying compliance. Based in Austin, Texas, Forcepoint supports more than 20,000 organizations worldwide. For more about Forcepoint, visit www.Forcepoint.com and follow us on Twitter at @ForcepointSec. Forcepoint is transforming cybersecurity by focusing on what matters most: understanding people’s intent as they interact with critical data and intellectual property wherever it resides. Our uncompromising systems enable companies to empower employees with unobstructed access to confidential data while protecting intellectual property and simplifying compliance. Based in Austin, Texas, Forcepoint supports more than 20,000 organizations worldwide. For more about Forcepoint, visit www.Forcepoint.com and follow us on Twitter at @ForcepointSec. Job Summary: Forcepoint is seeking a qualified full-time Senior Professional Services Data Engineer working on client site to facilitate configuration, data integration and training of our commercial-off-the-shelf cybersecurity User and Entity Behavioral Analytics (UEBA) products. This individual must be highly motivated, have great interpersonal skills, and be technically proficient. In this role you will be joining a small but rapidly growing team in Singapore. Your role will include working directly with customers to understand their goals, help shape requirements, own the design and implementation of analytic strategies, and develop robust ETL pipelines to support these analytic strategies. Additionally, you will interface with the broader Forcepoint Professional Services team to drive analytic capabilities of the platform, and overall facilitate an efficient, effective, and robust deployment of the Forcepoint UEBA platform to characterize and detect insider threats and compliance violations. The successful candidate will receive specialized training to support our technologies and is expected to become proficient in all aspects of complex software solution deployment. This position requires 5-10% domestic and international travel as needed to meet customer and project requirements. Responsibilities Include: Provide exceptional implementation services to new customers, including supporting data ingestion, analytic configuration, customer training, and troubleshooting Work directly with customers to design and implement robust analytic strategies in the Forcepoint UEBA platform to address use cases in cyber security and regulatory surveillance Partner with the UEBA Delivery team to integrate with and automate ingest for a wide variety of data sources (databases, remote servers, flat files, APIs, etc.) to ensure data is quickly and reliably available in all contexts Prepare technical documentation to include as-built design, requirements, and Standard Operating Procedures Interface with the broader Forcepoint data science team about analytic opportunities and accomplishments in the field to drive the evolution of the Forcepoint UEBA platform Provide technical briefings to customer leadership and Forcepoint corporate leadership as required Coordinate tasks and activities with various groups within Forcepoint, the government or partners Required Skills & Experience: Experience writing modular and reusable code in Python Facility in scripting and troubleshooting application errors in Linux/Unix environments Experience with the ETL: cleaning, transforming, and ingesting large datasets Experience with full Software Development Life Cycle (SLDC) from requirements through to testing and deployment Possess strong analytical, verbal, and technical written communication skills Must be able to coordinate collaboratively across traditional engineering disciplines and effectively engage with customers Must be eligible to work in India Nice to have: Prior technical experience in large enterprises Experience with Apache NiFi and high volume ETL tasks Integration experience with data stores such as Elasticsearch, PostgreSQL, Splunk, ArcSight, Cloudera, etc. Required Education: Advanced degree in a technical field such as Computer Science or equivalent work experience Work Location: SingaporeForcepoint - 8 days ago - save job - report job - original jobApply NowApply On Company SiteSave this jobOther jobs you may likeData ScientistSILENT EIGHT PTE. LTD.SingaporeMyCareersFuture.SG-9 days agoSenior Principal Scientist, Process Development SciencesLonzaTuasLonza-15 days agoData & Analytics ManagerHewlett Packard EnterpriseCentral SingaporeHewlett Packard Enterprise-8 days agoSenior Principal AI ScientistDefence Science and Technology AgencySingaporeCareers@Gov-22 days agoSenior Data Scientist (Machine Learning)Grab TaxiSingaporeGrab Taxi-30+ days agoSee more recommended jobsSenior Principal Scientist jobs in SingaporeJobs at Forcepoint in SingaporeCompany InfoFollowGet job updates from ForcepointForcepoint, powered by Raytheon, safeguards users, data and networks against the most determined adversaries.AboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",programming,python,None,None,None
5,jl_9d1ccab493bae4ea,Data scientist,Wego Pte Ltd,Singapore,None,fulltime,"As part of the Data Science and Analytics Team, the Data Scientist will be responsible for turning our ever growing data resources into value for the business...",https://www.indeed.com.sg/rc/clk?jk=9d1ccab493bae4ea&fccid=2eb767878cfa2ae2&vjs=3,"Data Scientist - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchData ScientistWego Pte Ltd-SingaporeAs part of the Data Science and Analytics Team, the Data Scientist will be responsible for turning our ever growing data resources into value for the business through advanced analytics and machine learning. Responsibility Identify opportunities for extracting business value through data science and machine learning Scope and execute data science projects according to business needs Work with engineering team to productionize model/findings Assist data science and analytics team in troubleshooting issues with data/ processes Requirements Proficiency in conducting advanced statistical analysis Understanding of how business value drives each data science problem Able to clearly communicate ideas with both technical and non technical colleagues Proficiency in Python and SQL Self driven, independent, clear communication skills Experience with machine learning/ deploying machine learning on production a plus Examples of data science projects: Recommendations for hotels, flights, destinations and dates Personalisation of product, CRM and marketing channels Prediction of prices of flights and hotels Quantifying partner quality Optimization of bidding on our hotel auction model Revenue estimation Automated detection of errors/ anomalies in data/ performance, debugging and troubleshooting Selection of best image to use for destination/ hotel cards Tools we use: Python (prerequisite) Git (prerequisite) Google BigQuery (knowledge of SQL is prerequisite) Linux (Ubuntu) MySQL Airflow Chartio Tableau What we offer An open and collaborative environment with relatively flat hierarchy and a wide range of nationalities An exciting opportunity to make an impact on the travel and tourism industry Getting to experience some of the latest in cloud computing technologies and frameworksWego Pte Ltd - 30+ days ago - save job - report job - original jobApply NowApply NowSave this jobOther jobs you may likeData Scientist - Visual SearchViSenze - Artificial Intelligence for the Visual WebSingaporeEasily apply19 days agoFab10 QEM Fault Detection and Classification Engineer (Data Scientist)MicronSingaporeMicron-2 days agoData Scientist, Analytics - WorldWide SalesAirbnbSingaporeEasily apply20 hours agoData Scientist Intern, Real World InsightsIQVIASingaporeIQVIA-2 days agoData ScientistDataRobotSingaporeEasily apply30+ days agoSee more recommended jobsData Scientist jobs in SingaporeJobs at Wego in SingaporeCompany InfoFollowGet job updates from Wego Pte LtdAboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",programming,python,None,None,None
6,jl_81ed333797bfcc03,Head of data science,UpCode Academy,Singapore,"$8,000 - $17,000 a month",fulltime,Head of Data Science (Academic)*. Our Data Science course series is a life-changing educational experience where students leave with the skills and mindset to...,https://www.indeed.com.sg/company/UpCode-Academy/jobs/Head-Data-Science-81ed333797bfcc03?fccid=85b7a1cbe0fbfdb9&vjs=3,"Head of Data Science - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchHead of Data ScienceUpCode Academy-Singapore$8,000 - $17,000 a monthJOB DESCRIPTION Position: Head of Data Science (Academic)UpCode Academy is a programming school in Singapore. We train and upgrade people with industry ready coding skills. Instead of employing full-time teachers, our classes are taught by current working professionals and leaders.Started since September 2017, we have run 22 courses and events for over 550students. The types of classes it runs are in the following genres:Data Science and Machine LearningHardware EngineeringDeep-Tech: Clean Energy and Med-TechFintechWeb and Mobile App ProgrammingCybersecurityResponsibilitiesWe are looking for an academic Head of Data Science to spearhead ongoing development and expansion of our data science curriculum, improving overall teaching capabilities and materials, and assisting with hiring and training of new instructors within the subject area.Our Data Science course series is a life-changing educational experience where students leave with the skills and mindset to take on new careers in a wide variety of Data Science roles. We are looking for an academic Head of Data Science to ensure our students' success through teaching and training with technology.Why work at UpCode Academy?If you are looking to make a life-changing impact by doing what you know and love, this is the position for you. Through this unparalleled opportunity, you will:Deepen your own skills by guiding students through a rigorous journey where they begin as driven novices and leave as empowered data analysts and scientistsContribute your own expertise to a deep and lasting impact on students across multiple industries Facilitate a supportive and energetic community that lasts well beyond the courseHone your own leadership skills by working with an instructional team and classroom communityRequirementsWhat Do You Need? You will need to show competency and understanding of the following concepts:Deep Learning / Neural Networks (MLP's, CNN's, RNN's)Regression analysisK-Means ClusteringPrincipal Component AnalysisTrain/Test and cross validationBayesian MethodsDecision Trees and Random ForestsMultivariate RegressionMulti-Level ModelsSupport Vector MachinesReinforcement LearningCollaborative FilteringK-Nearest NeighborBias/Variance TradeoffEnsemble LearningTerm Frequency / Inverse Document FrequencyExperimental Design and A/B TestsJob Type: Full-timeSalary: $8,000.00 to $17,000.00 /monthExperience:Data Science: 2 years (Required)19 days ago - save job - report jobApply NowApply NowSave this jobOther jobs you may likeSenior Data ScientistPrudential SingaporeSingaporeMonster SG-7 days agoHead of Data Science, Google Premium ServicesGoogleSingaporeGoogle-20 days agoComputer Education Educator | MOE SchoolWSH Experts Pte LtdSingapore$2,000 - $3,000 a monthEasily apply21 hours agoICT Trainer | MOE SchoolsWSH Experts Pte LtdSingapore$2,000 - $3,000 a monthEasily apply12 days agoData Scientist (JD#4567)SCIENTE INTERNATIONAL PTE. LTD.SingaporeMyCareersFuture.SG-16 days agoSee more recommended jobsData Scientist jobs in SingaporeJobs at UpCode Academy in SingaporeCompany InfoFollowGet job updates from UpCode AcademyAboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",None,None,None,None,None
7,jl_3d1c5d7b30c16dcc,Senior data scientist,Rakuten Asia Pte Ltd,Singapore,"$8,000 - $15,000 a month",fulltime,Solid experience in advanced data analytics. Be an expert and drive research results in one or more of the below areas:....,https://www.indeed.com.sg/company/Rakuten-Asia-Pte-Ltd/jobs/Senior-Data-Scientist-3d1c5d7b30c16dcc?fccid=68322cce179000f7&vjs=3,"Senior Data Scientist - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchSenior Data ScientistRakuten Asia Pte Ltd-Singapore$8,000 - $15,000 a monthPermanentResponsibilities: Be an expert and drive research results in one or more of the below areas:Machine Learning, Statistics, Information Retrieval, Recommender Systems, Natural Language Processing, Machine Translation, Sentiment Analysis, Graph Analysis, Computer Vision, Augmented/Virtual Reality, Other emerging technologiesDeliver results: Develop new technologies, improve business performanceDemonstrate long-term vision, while effectively supporting short-term goalsBe a thought-leader, keeping up with the academic and industry trendsRequirements: Solid experience in advanced data analyticsKnowledge of computer programmingStrong interest in contributing to business improvement and growthPhD, or MS with 2+ years of R&D; experience in industry or research instituteHands-on researcher and mentor to junior membersJob Types: Full-time, PermanentSalary: $8,000.00 to $15,000.00 /month18 days ago - save job - report jobApply NowApply NowSave this jobOther jobs you may likeFab10 QEM Fault Detection and Classification Engineer (Data Scientist)MicronSingaporeMicron-2 days agoData Scientist Intern, Real World InsightsIQVIASingaporeIQVIA-2 days agoData ScientistDow Technologies and SystemsBeach RdInternSG-4 days agoData Scientist, Analytics - WorldWide SalesAirbnbSingaporeEasily apply20 hours agoData ScientistRakuten Asia Pte LtdSingapore$5,000 - $9,000 a monthEasily apply18 days agoSee more recommended jobsData Scientist jobs in SingaporeJobs at Rakuten Asia in SingaporeCompany InfoFollowGet job updates from Rakuten Asia Pte LtdRakuten Asia Pte LtdAbout Rakuten Asia Pte. Ltd. Rakuten Asia, Regional Head Office of Asia, comprising of various business verticals such as Rakuten Ventu...AboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",programming,r,None,None,None
8,jl_4c93c73bcd0a5208,Bioinformatics scientist,IGENE LABORATORY,Singapore,"$2,000 - $3,000 a month",fulltime,Full biological information from Next Generation Sequencing data. Experience in biological sequence analysis and next-generation sequencing data....,https://www.indeed.com.sg/company/IGENE-LABORATORY/jobs/Bioinformatic-Scientist-4c93c73bcd0a5208?fccid=09bc902e742cfe50&vjs=3,"Bioinformatics Scientist - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchBioinformatics ScientistIGENE LABORATORY-Singapore$2,000 - $3,000 a monthPermanentJob SummaryThe Company iGene is a leading molecular diagnostics company based in Science Park, Singapore. We are a company dedicated to improving women’s and reproductive health and is currently seeking a bioinformatics Scientist looking for their next big challenge.The roleBased in Singapore, you will be entrusted with ideation and creation of a novel bioinformatics software systems from Next Generation Sequencing data and support the commercial growth of iGene Non-Invasive Prenatal Testing (NIPT), Carrier Screening and a range of NGS based genetic screenings products we offer.Responsibilities and DutiesResponsibilitiesThe ideal candidate must be able to:Develop machine learning methods and/or computational algorithms to infer insightfull biological information from Next Generation Sequencing dataBuild software components according to specifications and standards described,including Data and IT infrastructure to support functionResponsible for creation of experimental designs and protocols, engineering plansand procedures (with minimal supervisory input)Perform statistical and bioinformatics analyses of experimental data produced by Next-generation sequencing instruments, and other genome sequencing methodsParticipate in designing and conducting Verification and Verification studiesProvide bioinformatics support for the commercial growth of molecular diagnostic testsPerforms analysis of external technologies and applies judgment to business opportunitiesRequired Experience, Skills and QualificationsTechnical Expertise Minimum of Bachelor/Master degree in Applied Mathematics, Statistics, Computer Science, Electrical Engineering, Computational Biology/Bioinformatics or related field requiredAt least 3-5 years of work experience, preferably in a commercial biotechnology settingStrong background in machine learning, statistical learning, and exploratory data analysisExperience with analyzing data from high throughput systems including next-generation sequencing, microarray, highly-multiplexed PCR, and/or proteomic systemsExperience in biological sequence analysis and next-generation sequencing dataKnowledge of human genetics and biologyProficiency with at least one of the following statistical computing languages: S-PLUS, Matlab, SAS or any other relevant languageProgramming experience in Java, Python or Perl and experience with databases and SQL highly desirableJob Types: Full-time, PermanentSalary: $2,000.00 to $3,000.00 /monthLanguage:English (Required)17 days ago - save job - report jobApply NowApply NowSave this jobOther jobs you may likeSenior/Junior Bioinformatics AnalystUniversity of Hong KongSingaporeEasily apply16 days agoResearch FellowNANYANG TECHNOLOGICAL UNIVERSITYSingaporeMyCareersFuture.SG-9 days agoResearch AssociateNANYANG TECHNOLOGICAL UNIVERSITYSingaporeMyCareersFuture.SG-9 days agoAssistant Research OfficerTemasek Life Sciences Laboratory LimitedQueenstownEasily apply15 days agoDr Urano Daisuke Group: Assistant Research OfficerTEMASEK LIFE SCIENCES LABORATORY LIMITEDSingaporeMyCareersFuture.SG-15 days agoSee more recommended jobsScientist jobs in SingaporeJobs at IGENE LABORATORY in SingaporeAboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",programming,python_java_matlab_perl,None,None,None
9,jl_e092164a3d93b4c0,Data scientist,"Rakuten, Inc.",Singapore,None,fulltime,Solid experience in advanced data analytics. Rakuten Institute of Technology (RIT) is looking for Researchers who are passionate about data and technology....,https://www.indeed.com.sg/rc/clk?jk=e092164a3d93b4c0&fccid=5e50810dc475b1eb&vjs=3,"Data Scientist - Singapore - Indeed.com.sg Find JobsFind ResumesEmployers / Post JobUpload your resumeSign inHomewhatjob title, keywords, or companywhereCountry, Town or MRT StationFind JobsAdvanced Job SearchData ScientistRakuten, Inc.-SingaporeRakuten Institute of Technology (RIT) is looking for Researchers who are passionate about data and technology. As part of RIT, you will have an exciting opportunity to accelerate growth of existing Rakuten businesses, and to drive innovation with long-term benefits for the company; while collaborating closely with research, engineering, and business teams globally. Be an expert and drive research results in one or more of the below areas: Machine Learning Statistics, Information Retrieval, Recommender Systems, Natural Language Processing, Machine Translation, Sentiment Analysis, Graph Analysis, Computer Vision, Augmented/Virtual Reality, Other emerging technologies Deliver results: Develop new technologies, improve business performance Demonstrate long-term vision, while effectively supporting short-term goals Be a thought-leader, keeping up with the academic and industry trends Requirement: Solid experience in advanced data analytics Knowledge of computer programming Strong interest in contributing to business improvement and growth PhD, or MS with 2+ years of R&D; experience in industry or research institute English Requirement: Business Level To Recruiting Agencies: Rakuten does not accept candidate referrals or resumes/CVs from recruitment agencies with whom Rakuten does not have a contract. Rakuten will not accept any claim for payment based on unsolicited referrals or resumes/CVs.楽天 - 30+ days ago - save job - report job - original jobApply NowApply On Company SiteSave this jobOther jobs you may likeData ScientistGRABTAXI HOLDINGS PTE. LTD.SingaporeMyCareersFuture.SG-22 days agoDATA SCIENTISTThe Data TeamSingaporeThe Data Team-9 days agoData ScientistEyeotaSingaporeEyeota-30+ days agoLazada-Data Scientist -SingaporeLazadaSingaporeLazada-30+ days agoData ScientistITCS GroupSingaporeITCS Group-22 days agoSee more recommended jobsData Scientist jobs in SingaporeJobs at Rakuten in SingaporeCompany InfoFollowGet job updates from Rakuten, Inc.AboutHelp Center© 2018 IndeedCookies, Privacy and Terms ",programming,r,None,None,None
